issn,eissn,journal_name,category,if_2022,rank,collection,jci,citations,percentageOAGold
1332-0718,1846-8438,Pomorstvo-Scientific Journal of Maritime Research,TRANSPORTATION - ESCI(N/A),0,N,ESCI,0.21,207,99.15
1847-9464,1848-6681,Portal-Godisnjak Hrvatskog Restauratorskog Zavoda,ART - ESCI(N/A),0,N,ESCI,0.12,27,0
0035-2209,2118-4445,REVUE DES SCIENCES PHILOSOPHIQUES ET THEOLOGIQUES,RELIGION - AHCI(N/A); PHILOSOPHY - AHCI(N/A),0,N,AHCI,0.13,77,0
0035-3833,2104-385X,REVUE PHILOSOPHIQUE DE LA FRANCE ET DE L ETRANGER,PHILOSOPHY - AHCI(N/A),0,N,AHCI,0.1,213,0
2264-6949,2264-6949,ReS Futurae-Revue d Etudes sur la Science-Fiction,LITERATURE - ESCI(N/A),0,N,ESCI,0.1,28,51.61
1370-7493,1783-1717,Recherches de Theologie et Philosophie Medievales,RELIGION - AHCI(N/A); MEDIEVAL & RENAISSANCE STUDIES - AHCI(N/A),0,N,AHCI,0.78,48,0
1071-4413,1556-3022,Review of Education Pedagogy and Cultural Studies,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),0,N,ESCI,0.51,307,6.76
2175-3423,2175-3423,Revista Brasileira de Historia & Ciencias Sociais,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.01,25,68
0185-1918,0185-1918,Revista Mexicana de Ciencias Politicas y Sociales,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.1,246,100
1887-4460,1887-4460,Revista de Estudios Internacionales Mediterraneos,AREA STUDIES - ESCI(N/A),0,N,ESCI,0.37,54,78.46
0326-646X,1666-5694,Revista de la Federacion Argentina de Cardiologia,CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI(N/A),0,N,ESCI,0.02,31,0
2691-3747,2691-3755,SAE International Journal of Electrified Vehicles,TRANSPORTATION SCIENCE & TECHNOLOGY - ESCI(N/A),0,N,ESCI,0.03,2,0
1946-3952,1946-3960,SAE International Journal of Fuels and Lubricants,TRANSPORTATION SCIENCE & TECHNOLOGY - ESCI(N/A),0,N,ESCI,0.21,1295,0
2054-8923,2054-8923,Science and Technology of Archaeological Research,ARCHAEOLOGY - ESCI(N/A),0,N,ESCI,1.19,198,100
2314-2189,2314-2189,Signo y Sena-Revista del Instituto de Linguistica,LANGUAGE & LINGUISTICS - ESCI(N/A),0,N,ESCI,0.11,38,91.18
1754-1328,1754-1336,Sixties-A Journal of History Politics and Culture,HISTORY - ESCI(N/A),0,N,ESCI,0.23,26,0
1726-541X,2224-3380,Stellenbosch Papers in Linguistics Plus-SPiL Plus,LINGUISTICS - ESCI(N/A),0,N,ESCI,0.14,60,88.71
1970-9889,1970-9870,TeMA-Journal of Land Use Mobility and Environment,URBAN STUDIES - ESCI(N/A),0,N,ESCI,0.66,438,0
1139-9368,1989-8193,Theleme-Revista Complutense de Estudios Franceses,"LITERATURE, ROMANCE - ESCI(N/A)",0,N,ESCI,0.3,6,87.5
0094-9000,1547-7363,Theory of Probability and Mathematical Statistics,STATISTICS & PROBABILITY - ESCI(N/A),0,N,ESCI,0.19,141,0
2346-8092,2346-8092,Transactions of A Razmadze Mathematical Institute,MATHEMATICS - ESCI(N/A),0,N,ESCI,0.38,122,0
1300-7467,1300-7467,Turk Onkoloji Dergisi-Turkish Journal of Oncology,ONCOLOGY - ESCI(N/A),0,N,ESCI,0.03,67,97.54
N/A,2524-4442,Visual Computing for Industry Biomedicine and Art,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI(N/A); IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY - ESCI(N/A); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI(N/A)",0,N,ESCI,0.32,190,100
1865-2646,1865-2654,Zeitschrift fur Vergleichende Politikwissenschaft,POLITICAL SCIENCE - ESCI(N/A),0,N,ESCI,0.43,194,62.3
1988-7213,1988-7213,e-rph-Revista electronica de Patrimonio Historico,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.18,14,37.78
2158-656X,2158-6578,ACM Transactions on Management Information Systems,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI(N/A)",0,N,ESCI,0.85,539,0
2374-0353,2374-0361,ACM Transactions on Spatial Algorithms and Systems,REMOTE SENSING - ESCI(N/A),0,N,ESCI,0.36,182,0
0004-1327,1920-1222,ARIEL-A REVIEW OF INTERNATIONAL ENGLISH LITERATURE,LITERATURE - AHCI(N/A),0,N,AHCI,0.93,200,0
1644-0730,1898-9594,Acta Scientiarum Polonorum-Technologia Alimentaria,FOOD SCIENCE & TECHNOLOGY - ESCI(N/A),0,N,ESCI,0.33,1001,77.42
0974-6803,N/A,Advances and Applications in Mathematical Sciences,MATHEMATICS - ESCI(N/A),0,N,ESCI,0.1,94,0
2046-8083,2046-8091,African Journal of Accounting Auditing and Finance,"BUSINESS, FINANCE - ESCI(N/A)",0,N,ESCI,0.11,42,0
2040-0705,2040-0713,African Journal of Economic and Management Studies,ECONOMICS - ESCI(N/A),0,N,ESCI,0.49,437,0.87
1406-3859,2228-3897,Ajalooline Ajakiri-The Estonian Historical Journal,HISTORY - ESCI(N/A),0,N,ESCI,0.18,10,84.62
2146-7757,2146-7757,All Azimuth-A Journal of Foreign Policy and Peace,INTERNATIONAL RELATIONS - ESCI(N/A),0,N,ESCI,0.42,44,0
0211-9803,1988-2378,Anales de Geografia de la Universidad Complutense,GEOGRAPHY - ESCI(N/A),0,N,ESCI,0.16,91,88.71
2052-4374,2052-4374,Annals of Occupational and Environmental Medicine,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI(N/A)",0,N,ESCI,0.46,838,100
1110-0451,1110-0451,Arab Journal of Nuclear Sciences and Applications,NUCLEAR SCIENCE & TECHNOLOGY - ESCI(N/A),0,N,ESCI,0.18,339,0
1563-0110,1531-832X,Archaeology Ethnology and Anthropology of Eurasia,ANTHROPOLOGY - ESCI(N/A),0,N,ESCI,0.29,466,18.28
0066-6459,1867-1551,Archiv fur Papyrusforschung und Verwandte Gebiete,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A)",0,N,AHCI,0.38,36,5.08
0003-1186,1938-6958,BULLETIN OF THE AMERICAN SOCIETY OF PAPYROLOGISTS,ARCHAEOLOGY - AHCI(N/A),0,N,AHCI,0.09,84,0
2518-718X,N/A,Bulletin of the University of Karaganda-Chemistry,"CHEMISTRY, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.03,32,92.64
2329-4906,2329-4922,Business and Professional Communication Quarterly,COMMUNICATION - ESCI(N/A),0,N,ESCI,0.37,503,1.67
0011-1589,1536-0342,CRITICISM-A QUARTERLY FOR LITERATURE AND THE ARTS,LITERATURE - AHCI(N/A); LITERARY THEORY & CRITICISM - AHCI(N/A),0,N,AHCI,1.25,271,0
0835-4944,1925-993X,Canadian Journal for the Study of Adult Education,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),0,N,ESCI,0.34,171,0
2066-6845,2344-5459,Carpathian Journal of Food Science and Technology,FOOD SCIENCE & TECHNOLOGY - ESCI(N/A),0,N,ESCI,0.08,185,85.4
1358-684X,1469-3585,Changing English-Studies in Culture and Education,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),0,N,ESCI,0.32,259,4.81
0719-3882,0719-3890,Chilean Journal of Agricultural & Animal Sciences,AGRONOMY - ESCI(N/A),0,N,ESCI,0.14,102,32.97
1647-8991,1647-8991,Cinema-Journal of Philosophy and the Moving Image,"FILM, RADIO, TELEVISION - ESCI(N/A); PHILOSOPHY - ESCI(N/A)",0,N,ESCI,0.03,113,0
1225-1763,2234-3024,Communications of the Korean Mathematical Society,MATHEMATICS - ESCI(N/A),0,N,ESCI,0.51,449,0
1075-7201,1930-1200,Contagion-Journal of Violence Mimesis and Culture,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.42,20,0
0120-4645,2256-5078,Cuadernos de Administracion-Universidad del Valle,MANAGEMENT - ESCI(N/A),0,N,ESCI,0.04,10,88.1
1540-4595,1540-4609,Decision Sciences-Journal of Innovative Education,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),0,N,ESCI,0.77,633,1.47
1657-3986,2256-5477,Desde el Jardin de Freud-Revista de Psicoanalisis,"PSYCHOLOGY, PSYCHOANALYSIS - ESCI(N/A)",0,N,ESCI,0.04,17,100
2035-0031,2035-0031,Dialogues in Philosophy Mental and Neuro Sciences,PHILOSOPHY - ESCI(N/A),0,N,ESCI,0.64,29,0
1695-8403,2254-7592,EARI-Educacion Artistica-Revista de Investigacion,ART - ESCI(N/A),0,N,ESCI,0.84,25,96.15
2307-0331,2312-9824,Economic and Social Changes-Facts Trends Forecast,ECONOMICS - ESCI(N/A),0,N,ESCI,0.2,182,98.43
1121-8819,1121-8819,Eikasmos-Quaderni Bolognesi di Filologia Classica,CLASSICS - AHCI(N/A),0,N,AHCI,0.32,30,0
2174-7148,2174-6753,Encrucijadas-Revista Critica de Ciencias Sociales,SOCIAL ISSUES - ESCI(N/A),0,N,ESCI,0.03,50,0
2241-4487,1792-8036,Engineering Technology & Applied Science Research,"ENGINEERING, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.37,1191,18.26
0327-4934,2250-6950,Estudios Sociales-Revista Universitaria Semestral,HISTORY - ESCI(N/A),0,N,ESCI,0.14,25,98.31
0998-3953,1961-9138,Exercer-La Revue Francophone de Medecine Generale,"MEDICINE, GENERAL & INTERNAL - ESCI(N/A)",0,N,ESCI,0.02,127,0
2095-7505,2095-977X,Frontiers of Agricultural Science and Engineering,AGRONOMY - ESCI(N/A),0,N,ESCI,0.36,529,99.26
1989-9289,1989-9289,Futuro del Pasado-Revista Electronica de Historia,HISTORY - ESCI(N/A),0,N,ESCI,0.25,52,86.36
2473-8433,2473-8441,Harold Pinter Review-Essays on Contemporary Drama,THEATER - ESCI(N/A),0,N,ESCI,0.87,7,0
2172-055X,2386-4761,Haser-Revista Internacional de Filosofia Aplicada,PHILOSOPHY - ESCI(N/A),0,N,ESCI,0.16,10,100
1387-3741,1572-9400,Health Services and Outcomes Research Methodology,HEALTH CARE SCIENCES & SERVICES - ESCI(N/A),0,N,ESCI,0.46,536,15.28
N/A,2398-3396,IET Cyber-Physical Systems: Theory & Applications,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI(N/A); ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI(N/A); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI(N/A)",0,N,ESCI,0.42,433,97.35
2548-8457,2548-8465,IJoLE-International Journal of Language Education,LINGUISTICS - ESCI(N/A); EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),0,N,ESCI,0.17,37,56
0228-6203,1925-7082,INTERNATIONAL JOURNAL OF MODELLING AND SIMULATION,"ENGINEERING, MULTIDISCIPLINARY - ESCI(N/A); MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - ESCI(N/A)",0,N,ESCI,0.75,377,0
0971-5851,0975-2129,Indian Journal of Medical and Paediatric Oncology,ONCOLOGY - ESCI(N/A),0,N,ESCI,0.05,783,98.63
2210-5697,2210-5700,International Journal for the Study of Skepticism,PHILOSOPHY - ESCI(N/A),0,N,ESCI,0.44,66,6.25
1476-8186,1751-8520,International Journal of Automation and Computing,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI(N/A); AUTOMATION & CONTROL SYSTEMS - ESCI(N/A)",0,N,ESCI,0.6,1527,19.8
2056-9971,2056-998X,International Journal of Christianity & Education,RELIGION - ESCI(N/A),0,N,ESCI,0.54,31,5.56
1475-3219,1741-8038,International Journal of Critical Infrastructures,"ENGINEERING, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.19,256,0
1750-6220,1750-6239,International Journal of Energy Sector Management,MANAGEMENT - ESCI(N/A),0,N,ESCI,0.61,904,1.32
1064-2277,2152-5110,International Journal of Fluid Mechanics Research,MECHANICS - ESCI(N/A),0,N,ESCI,0.31,386,0
1938-6362,1939-7879,International Journal of Geotechnical Engineering,"ENGINEERING, GEOLOGICAL - ESCI(N/A)",0,N,ESCI,0.65,1522,0
2509-9957,2509-9965,International Journal of Latin American Religions,RELIGION - ESCI(N/A),0,N,ESCI,1.32,63,12.86
2299-9701,2543-5361,International Journal of Management and Economics,ECONOMICS - ESCI(N/A),0,N,ESCI,0.16,157,98.65
2661-3352,2661-3344,International Journal of Mathematics for Industry,"MATHEMATICS, APPLIED - ESCI(N/A)",0,N,ESCI,0.41,17,100
2468-8827,2468-8835,International Journal of Noncommunicable Diseases,"MEDICINE, GENERAL & INTERNAL - ESCI(N/A); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI(N/A)",0,N,ESCI,0.08,102,70
1078-3466,1710-2243,International Journal of Power and Energy Systems,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI(N/A)",0,N,ESCI,0.2,120,0
0951-3558,1758-6666,International Journal of Public Sector Management,PUBLIC ADMINISTRATION - ESCI(N/A); MANAGEMENT - ESCI(N/A),0,N,ESCI,0.64,1630,5.19
1687-7195,1687-7209,International Journal of Reconfigurable Computing,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - ESCI(N/A)",0,N,ESCI,0.36,163,93.75
2476-4108,2476-3772,International Journal of Reproductive Biomedicine,OBSTETRICS & GYNECOLOGY - ESCI(N/A),0,N,ESCI,0.5,1287,95.33
1360-3736,1468-2419,International Journal of Training and Development,MANAGEMENT - ESCI(N/A),0,N,ESCI,0.51,928,22.67
1735-9066,2228-5504,Iranian Journal of Nursing and Midwifery Research,NURSING - ESCI(N/A),0,N,ESCI,0.7,1212,80.08
1583-0039,1583-0039,JOURNAL FOR THE STUDY OF RELIGIONS AND IDEOLOGIES,RELIGION - AHCI(N/A),0,N,AHCI,1.42,152,0
1536-0288,1536-0539,JOURNAL OF PAIN & PALLIATIVE CARE PHARMACOTHERAPY,ANESTHESIOLOGY - ESCI(N/A),0,N,ESCI,0.24,759,2.67
N/A,2090-262X,JOURNAL OF THE EGYPTIAN PUBLIC HEALTH ASSOCIATION,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI(N/A)",0,N,ESCI,0.65,504,98.8
1613-7272,1876-0104,Journal for European Environmental & Planning Law,LAW - ESCI(N/A),0,N,ESCI,1.09,137,23.21
1759-6599,2042-8715,Journal of Aggression Conflict and Peace Research,CRIMINOLOGY & PENOLOGY - ESCI(N/A),0,N,ESCI,0.45,361,1.35
2324-9676,2324-9676,Journal of Applied Water Engineering and Research,WATER RESOURCES - ESCI(N/A),0,N,ESCI,0.29,181,2.17
2374-6246,2374-6254,Journal of Astronomy and Earth Sciences Education,"EDUCATION, SCIENTIFIC DISCIPLINES - ESCI(N/A)",0,N,ESCI,0.2,20,14.29
2737-4165,2737-4173,Journal of Computational Biophysics and Chemistry,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(N/A)",0,N,SCIE,N/A,60,3.13
0022-0620,1478-7431,Journal of Educational Administration and History,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),0,N,ESCI,0.77,393,4.17
2337-5779,2338-5502,Journal of Engineering and Technological Sciences,"ENGINEERING, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.28,380,98.41
2168-1015,2168-1023,Journal of Industrial and Production Engineering,"ENGINEERING, INDUSTRIAL - ESCI(N/A)",0,N,ESCI,0.38,1263,0.63
2572-7923,2572-7931,Journal of Infrastructure Policy and Development,MANAGEMENT - ESCI(N/A),0,N,ESCI,0.29,79,97.92
1052-6188,1934-9394,Journal of Machinery Manufacture and Reliability,"ENGINEERING, MECHANICAL - ESCI(N/A)",0,N,ESCI,0.12,275,0
2337-5760,2337-5760,Journal of Mathematical and Fundamental Sciences,MULTIDISCIPLINARY SCIENCES - ESCI(N/A),0,N,ESCI,0.23,191,97.1
2008-949X,2008-949X,Journal of Mathematics and Computer Science-JMCS,MATHEMATICS - ESCI(N/A),0,N,ESCI,0.94,459,99.44
2322-1399,2588-3739,Journal of Medicinal Plants and By-products-JMPB,PLANT SCIENCES - ESCI(N/A),0,N,ESCI,0.12,76,0
1869-5760,1869-5760,Journal of Ophthalmic Inflammation and Infection,OPHTHALMOLOGY - ESCI(N/A),0,N,ESCI,0.6,769,100
2056-9122,2056-9130,Journal of Organisational Studies and Innovation,MANAGEMENT - ESCI(N/A),0,N,ESCI,0.09,20,0
2330-068X,2330-0698,Journal of Patient-Centered Research and Reviews,HEALTH CARE SCIENCES & SERVICES - ESCI(N/A),0,N,ESCI,0.45,183,95.56
2456-9119,2456-9119,Journal of Pharmaceutical Research International,PHARMACOLOGY & PHARMACY - ESCI(N/A),0,N,ESCI,0.11,742,92.85
1471-3802,1471-3802,Journal of Research in Special Educational Needs,"EDUCATION, SPECIAL - ESCI(N/A)",0,N,ESCI,1.04,883,23
1998-2836,2313-6049,Journal of Siberian Federal University-Chemistry,"CHEMISTRY, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.07,168,0
N/A,2693-9169,Journal of Statistics and Data Science Education,"EDUCATION, SCIENTIFIC DISCIPLINES - ESCI(N/A)",0,N,ESCI,0.1,33,80.43
1949-6591,1949-6605,Journal of Student Affairs Research and Practice,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),0,N,ESCI,0.53,736,0.65
2310-8789,1995-5235,Journal of Transport and Supply Chain Management,MANAGEMENT - ESCI(N/A),0,N,ESCI,0.23,167,91.49
2199-6776,2199-6784,Journal of the Economic Science Association-JESA,ECONOMICS - ESCI(N/A),0,N,ESCI,0.53,376,38
2090-0686,2314-6648,Journal of the Egyptian Ophthalmological Society,OPHTHALMOLOGY - ESCI(N/A),0,N,ESCI,0.04,32,96.61
1226-6531,1226-6531,Journal of the Korean Magnetic Resonance Society,BIOCHEMICAL RESEARCH METHODS - ESCI(N/A),0,N,ESCI,0.06,47,0
2212-4438,2212-4438,Journal of the World Federation of Orthodontists,"DENTISTRY, ORAL SURGERY & MEDICINE - ESCI(N/A)",0,N,ESCI,0.4,192,1.16
1303-2399,1303-4181,Kastamonu University Journal of Forestry Faculty,FORESTRY - ESCI(N/A),0,N,ESCI,0.17,161,98.85
2223-2613,2223-2621,Khazar Journal of Humanities and Social Sciences,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.1,47,0
1824-4920,1824-484X,LEA-Lingue e Letterature d Oriente e d Occidente,LANGUAGE & LINGUISTICS - ESCI(N/A),0,N,ESCI,0.05,12,0
1742-3945,1742-3945,Manchester Journal of International Economic Law,ECONOMICS - ESCI(N/A); LAW - ESCI(N/A),0,N,ESCI,0.17,21,0
1120-9607,1120-9607,Materiali per una Storia della Cultura Giuridica,LAW - ESCI(N/A),0,N,ESCI,0.05,28,0
2288-8101,2288-8586,Maxillofacial Plastic and Reconstructive Surgery,"DENTISTRY, ORAL SURGERY & MEDICINE - ESCI(N/A)",0,N,ESCI,0.7,601,100
1123-2560,1123-2560,Micrologus-Nature Science and Medieval Societies,MEDIEVAL & RENAISSANCE STUDIES - ESCI(N/A),0,N,ESCI,0.9,44,0
1873-9857,1873-9865,Middle East Journal of Culture and Communication,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.46,114,2.08
0108-8416,2212-9715,NOWELE-North-Western European Language Evolution,LANGUAGE & LINGUISTICS - ESCI(N/A),0,N,ESCI,0.29,31,5.88
2192-8010,2192-8029,Nonlinear Engineering - Modeling and Application,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - ESCI(N/A); ENGINEERING, MECHANICAL - ESCI(N/A)",0,N,ESCI,0.98,382,92.99
1659-1046,2215-3411,Odovtos International Journal of Dental Sciences,"DENTISTRY, ORAL SURGERY & MEDICINE - ESCI(N/A)",0,N,ESCI,0.13,85,84.92
0006-128X,2377-6528,PAPERS OF THE BIBLIOGRAPHICAL SOCIETY OF AMERICA,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A)",0,N,AHCI,0.23,110,0
1477-9757,1752-9182,Person-Centered and Experiential Psychotherapies,"PSYCHOLOGY, CLINICAL - ESCI(N/A)",0,N,ESCI,0.14,167,7.58
2398-4910,2398-4929,Perspectives on Public Management and Governance,PUBLIC ADMINISTRATION - ESCI(N/A),0,N,ESCI,1.55,311,14.29
1748-135X,2053-4272,Policy & Practice-A Development Education Review,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),0,N,ESCI,0.45,170,0
0315-9906,0315-9906,RACAR-REVUE D ART CANADIENNE-CANADIAN ART REVIEW,ART - ESCI(N/A),0,N,ESCI,0.26,30,38.46
1885-9089,1885-9089,RAEL-Revista Electronica de Linguistica Aplicada,LINGUISTICS - ESCI(N/A),0,N,ESCI,0.14,22,0
1330-0474,1330-0474,Radovi Zavoda za povijesne znanosti HAZU u Zadru,HISTORY - AHCI(N/A),0,N,AHCI,0.03,82,0
2730-7166,2730-7174,Research on Child and Adolescent Psychopathology,"PSYCHOLOGY, CLINICAL - SSCI(N/A); PSYCHOLOGY, DEVELOPMENTAL - SSCI(N/A)",0,N,SSCI,0.41,170,22.75
1852-4206,1852-4206,Revista Argentina de Ciencias del Comportamiento,"PSYCHOLOGY, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.14,115,7.94
1984-3372,1984-3372,Revista Eletronica de Estrategia e Negocios-REEN,MANAGEMENT - ESCI(N/A),0,N,ESCI,0.02,56,54.63
0034-9356,2340-3284,Revista Espanola de Anestesiologia y Reanimacion,ANESTHESIOLOGY - ESCI(N/A),0,N,ESCI,0.48,687,0
2173-1292,2174-5145,Revista Espanola de Nutricion Humana y Dietetica,NUTRITION & DIETETICS - ESCI(N/A),0,N,ESCI,0.09,2142,61.21
1989-7448,1989-7448,Revista Espanola de Orientacion y Psicopedagogia,"PSYCHOLOGY, APPLIED - ESCI(N/A)",0,N,ESCI,0.2,252,55.56
1983-5213,1983-5213,Revista Ibero-Americana de Ciencia da Informacao,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(N/A),0,N,ESCI,0.03,18,49.07
1682-3419,1609-9117,Revista de Investigaciones Veterinarias del Peru,VETERINARY SCIENCES - ESCI(N/A),0,N,ESCI,0.1,297,89.61
2175-5361,2175-5361,Revista de Pesquisa-Cuidado e Fundamental Online,NURSING - ESCI(N/A),0,N,ESCI,0.11,361,79.82
1577-2578,2340-5759,Revista de Sociedad Gaditana de Historia Natural,ENVIRONMENTAL SCIENCES - ESCI(N/A),0,N,ESCI,0.02,8,0
1519-9029,1519-9029,Revista on Line de Politica e Gestao Educacional,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),0,N,ESCI,0.1,68,85.86
0997-1327,2105-2271,Revue des Mondes Musulmans et de la Mediterranee,AREA STUDIES - ESCI(N/A),0,N,ESCI,0.07,119,91.67
2039-4667,2239-2629,Rivista Internazionale di Filosofia e Psicologia,"PHILOSOPHY - ESCI(N/A); PSYCHOLOGY, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.16,36,0
1946-391X,1946-3928,SAE International Journal of Commercial Vehicles,TRANSPORTATION SCIENCE & TECHNOLOGY - ESCI(N/A),0,N,ESCI,0.17,406,0
0379-8046,2225-4765,SOUTH AFRICAN JOURNAL OF COMMUNICATION DISORDERS,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - ESCI(N/A),0,N,ESCI,0.43,259,90.28
1068-3755,1934-8002,SURFACE ENGINEERING AND APPLIED ELECTROCHEMISTRY,ELECTROCHEMISTRY - ESCI(N/A),0,N,ESCI,0.12,622,0
1590-4946,1825-9618,Scienza & Politica-Per una Storia delle Dottrine,POLITICAL SCIENCE - ESCI(N/A),0,N,ESCI,0.04,36,0
1095-5143,1936-4822,Sexuality & Culture-An Interdisciplinary Journal,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.74,1241,13.92
2322-0937,2349-5790,South Asian Journal of Human Resource Management,MANAGEMENT - ESCI(N/A),0,N,ESCI,0.24,84,4.88
1178-6957,1178-6957,Stem Cells and Cloning-Advances and Applications,CELL BIOLOGY - ESCI(N/A),0,N,ESCI,0.35,274,100
2322-9381,2322-9675,Trashumante-Revista Americana de Historia Social,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.7,27,98.04
1995-1191,2412-6160,Vestnik Transplantologii i Iskusstvennyh Organov,TRANSPLANTATION - ESCI(N/A),0,N,ESCI,0.07,90,84.15
0001-6896,N/A,ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA,PSYCHIATRY - ESCI(N/A),0,N,ESCI,0.02,47,0
0974-1658,0974-1658,Advances and Applications in Discrete Mathematics,MATHEMATICS - ESCI(N/A),0,N,ESCI,0.16,41,26.8
1336-1376,1804-3119,Advances in Electrical and Electronic Engineering,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI(N/A)",0,N,ESCI,0.17,282,99.14
2147-9100,2148-7316,Advances in Hospitality and Tourism Research-AHTR,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI(N/A)",0,N,ESCI,0.26,106,100
2374-068X,2374-0698,Advances in Materials and Processing Technologies,"MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.35,1070,0.19
1582-2486,1582-2486,Analele Universitatii Bucuresti-Stiinte Politice,POLITICAL SCIENCE - ESCI(N/A),0,N,ESCI,0,5,0
0211-2337,1988-2564,Anales del Seminario de Historia de la Filosofia,PHILOSOPHY - AHCI(N/A),0,N,AHCI,0.23,66,87.5
2380-288X,2380-2898,Annals of Mathematical Sciences and Applications,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - ESCI(N/A)",0,N,ESCI,0.44,78,0
2393-9885,2278-9839,Annals of Phytomedicine-An International Journal,PHARMACOLOGY & PHARMACY - ESCI(N/A),0,N,ESCI,0.28,330,99.15
2027-1131,2145-4493,Anuario Colombiano de Derecho Internacional-ACDI,LAW - ESCI(N/A),0,N,ESCI,0.25,9,89.47
0211-6707,1989-6190,Areas-Revista Internacional de Ciencias Sociales,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.03,62,100
2352-3077,2352-3085,Asian Diasporic Visual Cultures and the Americas,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.4,5,0
0972-9860,1875-8568,Asian Journal of Water Environment and Pollution,ENVIRONMENTAL SCIENCES - ESCI(N/A),0,N,ESCI,0.1,364,0
2237-826X,2237-826X,AtoZ-Novas Praticas em Informacao e Conhecimento,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(N/A),0,N,ESCI,0.03,23,85.56
1323-8922,1838-6059,Australian Journal of Rehabilitation Counselling,REHABILITATION - ESCI(N/A),0,N,ESCI,0.12,87,0
2254-4313,2254-4313,Avances de Investigacion en Educacion Matematica,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),0,N,ESCI,0.33,42,22.22
1179-5972,1179-5972,Biomedical Engineering and Computational Biology,"ENGINEERING, BIOMEDICAL - ESCI(N/A)",0,N,ESCI,0.35,74,100
0974-6455,0974-6455,Bioscience Biotechnology Research Communications,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - ESCI(N/A),0,N,ESCI,0.06,652,9.31
2518-7929,N/A,Bulletin of the Karaganda University-Mathematics,MATHEMATICS - ESCI(N/A),0,N,ESCI,0.41,109,0
