"ISSN","Journal","Abbr_Name","Is_SCI","IF2018","IF_5year","Self_citing","H_Index","CiteScore","Division","Category","Discipline","IsTop","IsReview","Publication_Cycle","Article_NO._per_year","Publication_year","Region","OA","Employment","Refereeing","View","Url"
"1758-5864","Asia-Pacific Psychiatry","ASIA-PAC PSYCHIAT","SCIE",1.416,1.175,0,12,1.13,"4区","医学","精神病学","否","否","Tri-annual","35",2009,"AUSTRALIA","No","容易",">12周，或约稿",4465,"https://www.letpub.com.cn/index.php?journalid=907&page=journalapp&view=detail"
"1905-7415","Asian Biomedicine","ASIAN BIOMED","SCIE",0.209,0.243,0,14,0.24,"4区","医学","医学：研究与实验","否","否","Bimonthly","22",2007,"THAILAND","No","容易","较慢,6-12周",5939,"https://www.letpub.com.cn/index.php?journalid=908&page=journalapp&view=detail"
"1008-682X","ASIAN JOURNAL OF ANDROLOGY","ASIAN J ANDROL","SCI/SCIE",3.259,3.058,3.3,58,2.08,"3区","医学","男科学","是","否","Bimonthly","112",1999,"PEOPLES R CHINA","Yes","约65%","平均2.2月",12808,"https://www.letpub.com.cn/index.php?journalid=909&page=journalapp&view=detail"
"1683-9919","",NA,"无",0,0,NA,NA,NA,"未录","","",NA,NA,"Bimonthly","132",2006,NA,"No","约75%","约2.0个月",4779,"https://www.letpub.com.cn/index.php?journalid=910&page=journalapp&view=detail"
"0970-7077","ASIAN JOURNAL OF CHEMISTRY","ASIAN J CHEM","无",0,0,NA,29,0.21,"未录","","",NA,NA,"Bimonthly","2647",0,"INDIA","No","88%","约3.9个月",51441,"https://www.letpub.com.cn/index.php?journalid=911&page=journalapp&view=detail"
"1561-8625","ASIAN JOURNAL OF CONTROL","ASIAN J CONTROL","SCIE",1.528,1.47,25.9,43,1.76,"4区","工程技术","自动化与控制系统","否","否","Quarterly","194",1999,"TAIWAN","No","容易","约4.8个月",54698,"https://www.letpub.com.cn/index.php?journalid=912&page=journalapp&view=detail"
"1093-6106","Asian Journal of Mathematics","ASIAN J MATH","SCIE",0.644,0.825,2.2,NA,0.78,"3区","数学","数学","否","否","Quarterly","44",0,"UNITED STATES","No","容易",">12周，或约稿",7902,"https://www.letpub.com.cn/index.php?journalid=913&page=journalapp&view=detail"
"1015-9584","Asian Journal of Surgery","ASIAN J SURG","SCIE",1.895,1.602,1.8,26,1.08,"4区","医学","外科","否","否","Quarterly","82",1988,"PEOPLES R CHINA","No","容易",">12周，或约稿",7804,"https://www.letpub.com.cn/index.php?journalid=914&page=journalapp&view=detail"
"1976-1317","Asian Nursing Research","ASIAN NURS RES","SCIE",0.918,1.439,3.3,13,1.2,"4区","医学","护理","否","否","Quarterly","43",2007,"SOUTH KOREA","No","容易",">12周，或约稿",4654,"https://www.letpub.com.cn/index.php?journalid=915&page=journalapp&view=detail"
"0125-877X","ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY","ASIAN PAC J ALLERGY","SCIE",0.976,1.189,14.4,27,1.13,"4区","医学","过敏","否","否","Semiannual","26",1983,"THAILAND","No","容易",">12周，或约稿",6419,"https://www.letpub.com.cn/index.php?journalid=916&page=journalapp&view=detail"
"1513-7368","Asian Pacific Journal of Cancer Prevention","ASIAN PAC J CANCER P","无",0,0,NA,59,1.46,"未录","","",NA,NA,"Quarterly","1385",2000,"JAPAN","No","约63.57%","约3.0个月",21889,"https://www.letpub.com.cn/index.php?journalid=917&page=journalapp&view=detail"
"1011-2367","ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES","ASIAN AUSTRAL J ANIM","SCIE",1.243,1.438,10.5,41,1.69,"4区","农林科学","奶制品与动物科学","否","否","Monthly","223",1988,"SOUTH KOREA","No","约50%","平均3月",13440,"https://www.letpub.com.cn/index.php?journalid=918&page=journalapp&view=detail"
"0001-253X","ASLIB PROCEEDINGS","ASLIB PROC","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Bimonthly","0",1949,"ENGLAND","No","容易",">12周，或约稿",5439,"https://www.letpub.com.cn/index.php?journalid=919&page=journalapp&view=detail"
"1759-0914","ASN Neuro","ASN NEURO","SCIE",3.617,4.08,0.5,31,3.45,"3区","医学","神经科学","否","否","Bimonthly","18",2009,"ENGLAND","Yes","",">12周，或约稿",5141,"https://www.letpub.com.cn/index.php?journalid=920&page=journalapp&view=detail"
"1540-658X","ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES","ASSAY DRUG DEV TECHN","SCIE",1.593,2.063,5,50,2.07,"4区","医学","生化研究方法","否","否","Bimonthly","40",2002,"UNITED STATES","No","较易",">12周，或约稿",3988,"https://www.letpub.com.cn/index.php?journalid=921&page=journalapp&view=detail"
"0144-5154","ASSEMBLY AUTOMATION","ASSEMBLY AUTOM","SCIE",1.383,1.642,25,NA,2.23,"4区","工程技术","自动化与控制系统","否","否","Quarterly","47",0,"ENGLAND","No","容易","约3.0个月",21315,"https://www.letpub.com.cn/index.php?journalid=922&page=journalapp&view=detail"
"1592-5986","Assistenza Infermieristica e Ricerca","ASSIST INFERM RIC","SCIE",0.404,0.3,39.1,NA,0.28,"4区","医学","护理","否","否","Quarterly","32",1999,"ITALY","No","容易",">12周，或约稿",3956,"https://www.letpub.com.cn/index.php?journalid=923&page=journalapp&view=detail"
"1863-8171","AStA-Advances in Statistical Analysis","ASTA-ADV STAT ANAL","SCIE",0.643,1.18,0,NA,0.8,"3区","数学","统计学与概率论","否","否","Quarterly","22",0,"GERMANY","No","容易",">12周，或约稿",4992,"https://www.letpub.com.cn/index.php?journalid=924&page=journalapp&view=detail"
"0303-1179","ASTERISQUE","ASTERISQUE","SCIE",0.812,1.083,7.1,NA,0.58,"4区","数学","数学","否","否","Bimonthly","30",0,"FRANCE","No","容易",">12周，或约稿",4294,"https://www.letpub.com.cn/index.php?journalid=925&page=journalapp&view=detail"
"0515-0361","Astin Bulletin","ASTIN BULL","SCIE",0.906,1.339,16.7,35,1.08,"3区","数学","数学跨学科应用","否","否","Semiannual","30",0,"BELGIUM","No","容易",">12周，或约稿",4904,"https://www.letpub.com.cn/index.php?journalid=926&page=journalapp&view=detail"
"1531-1074","ASTROBIOLOGY","ASTROBIOLOGY","SCIE",3.61,3.282,21,64,2.78,"3区","生物","天文与天体物理","否","否","Bimonthly","91",2001,"UNITED STATES","No","较易","约3.0个月",5301,"https://www.letpub.com.cn/index.php?journalid=927&page=journalapp&view=detail"
"0004-6256","ASTRONOMICAL JOURNAL","ASTRON J","SCI/SCIE",4.15,4.252,19.5,211,3.33,"2区","地学天文","天文与天体物理","否","否","Monthly","542",1849,"UNITED STATES","No","较易","较快,2-4周",8734,"https://www.letpub.com.cn/index.php?journalid=928&page=journalapp&view=detail"
"0004-6337","ASTRONOMISCHE NACHRICHTEN","ASTRON NACHR","SCI/SCIE",1.322,1.066,9.1,46,1.03,"4区","地学天文","天文与天体物理","否","否","Bimonthly","143",1823,"GERMANY","No","容易","偏慢,4-8周",3937,"https://www.letpub.com.cn/index.php?journalid=929&page=journalapp&view=detail"
"0004-6361","ASTRONOMY & ASTROPHYSICS","ASTRON ASTROPHYS","无",0,0,NA,NA,3.8,"未录","","","否","否","Weekly","1735",1969,"FRANCE","No","较易","超快,1-2周",9462,"https://www.letpub.com.cn/index.php?journalid=930&page=journalapp&view=detail"
"1366-8781","ASTRONOMY & GEOPHYSICS","ASTRON GEOPHYS","SCIE",0.291,0.318,30.2,NA,0.1,"4区","地学天文","天文与天体物理","否","否","Bimonthly","41",0,"ENGLAND","No","容易",">12周，或约稿",4000,"https://www.letpub.com.cn/index.php?journalid=931&page=journalapp&view=detail"
"0935-4956","ASTRONOMY AND ASTROPHYSICS REVIEW","ASTRON ASTROPHYS REV","SCI/SCIE",11.611,17.021,1.4,52,5.29,"1区","地学天文","天文与天体物理","是","是","Quarterly","5",0,"GERMANY","No","多是约稿","约稿?周期不定",7929,"https://www.letpub.com.cn/index.php?journalid=932&page=journalapp&view=detail"
"1063-7737","ASTRONOMY LETTERS-A JOURNAL OF ASTRONOMY AND SPACE ASTROPHYSICS","ASTRON LETT+","SCI/SCIE",1.16,1.079,24.7,NA,0.83,"4区","地学天文","天文与天体物理","否","否","Monthly","70",0,"RUSSIA","No","容易","较慢,6-12周",4104,"https://www.letpub.com.cn/index.php?journalid=933&page=journalapp&view=detail"
"1063-7729","ASTRONOMY REPORTS","ASTRON REP+","SCI/SCIE",0.824,0.839,29.6,25,0.69,"4区","地学天文","天文与天体物理","否","否","Monthly","108",0,"RUSSIA","No","容易","较慢,6-12周",3822,"https://www.letpub.com.cn/index.php?journalid=934&page=journalapp&view=detail"
"0927-6505","ASTROPARTICLE PHYSICS","ASTROPART PHYS","SCI/SCIE",3.203,3.141,6.7,98,3.48,"3区","地学天文","天文与天体物理","否","否","Bimonthly","80",0,"NETHERLANDS","No","一般","偏慢,4-8周",6022,"https://www.letpub.com.cn/index.php?journalid=935&page=journalapp&view=detail"
"1990-3413","Astrophysical Bulletin","ASTROPHYS BULL","SCIE",1.29,1.17,36.4,15,1.01,"4区","地学天文","天文与天体物理","否","否","Quarterly","49",0,"RUSSIA","No","容易",">12周，或约稿",3549,"https://www.letpub.com.cn/index.php?journalid=936&page=journalapp&view=detail"
"0004-637X","ASTROPHYSICAL JOURNAL","ASTROPHYS J","SCI/SCIE",5.551,5.402,33.6,363,4.41,"1区","地学天文","天文与天体物理","是","否","Biweekly","3059",1895,"UNITED STATES","No","较难","约1.0个月",20784,"https://www.letpub.com.cn/index.php?journalid=937&page=journalapp&view=detail"
"2041-8205","Astrophysical Journal Letters","ASTROPHYS J LETT","SCI/SCIE",6.634,5.572,6.5,110,5.07,"1区","地学天文","天文与天体物理","是","否","Biweekly","543",0,"UNITED STATES","No","较难","很快,2-3周",10874,"https://www.letpub.com.cn/index.php?journalid=938&page=journalapp&view=detail"
"0067-0049","ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES","ASTROPHYS J SUPPL S","SCI/SCIE",8.561,9.663,3.9,NA,7.26,"1区","地学天文","天文与天体物理","是","否","Monthly","167",1954,"UNITED STATES","No","约25%","平均2月",10778,"https://www.letpub.com.cn/index.php?journalid=939&page=journalapp&view=detail"
"0571-7256","ASTROPHYSICS","ASTROPHYSICS+","SCIE",0.755,0.59,22.5,14,0.29,"4区","地学天文","天文与天体物理","否","否","Quarterly","52",0,"ARMENIA","No","容易","较慢,6-12周",4234,"https://www.letpub.com.cn/index.php?journalid=940&page=journalapp&view=detail"
"0004-640X","ASTROPHYSICS AND SPACE SCIENCE","ASTROPHYS SPACE SCI","SCI/SCIE",1.885,1.554,12.8,58,1.32,"4区","地学天文","天文与天体物理","否","否","Monthly","236",1968,"NETHERLANDS","No","容易","较快,2-4周",12033,"https://www.letpub.com.cn/index.php?journalid=941&page=journalapp&view=detail"
"0921-7134","ASYMPTOTIC ANALYSIS","ASYMPTOTIC ANAL","SCIE",0.748,0.822,3.9,34,0.84,"4区","数学","应用数学","否","否","Monthly","41",0,"NETHERLANDS","No","约20%","平均6月",4554,"https://www.letpub.com.cn/index.php?journalid=942&page=journalapp&view=detail"
"0178-2312","AT-Automatisierungstechnik","AT-AUTOM","SCIE",0.503,0.38,25.2,NA,0.47,"4区","工程技术","自动化与控制系统","否","否","Monthly","72",0,"GERMANY","No","容易","较慢,6-12周",6460,"https://www.letpub.com.cn/index.php?journalid=943&page=journalapp&view=detail"
"1139-7357","Atencion Farmaceutica","ATEN FARM","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Bimonthly","50",1999,NA,"No","容易","较慢,6-12周",3001,"https://www.letpub.com.cn/index.php?journalid=944&page=journalapp&view=detail"
"0212-6567","Atencion Primaria","ATEN PRIM","SCIE",1.148,1.18,22,33,0.54,"4区","医学","医学：内科","否","否","Monthly","59",1983,"SPAIN","Yes","容易","较慢,6-12周",3673,"https://www.letpub.com.cn/index.php?journalid=945&page=journalapp&view=detail"
"0021-9150","ATHEROSCLEROSIS","ATHEROSCLEROSIS","SCI/SCIE",4.467,4.196,4.7,154,3.93,"2区","医学","心脏和心血管系统","否","否","Monthly","318",1970,"UNITED STATES","No","约33.33%","平均3月",26561,"https://www.letpub.com.cn/index.php?journalid=946&page=journalapp&view=detail"
"1567-5688","ATHEROSCLEROSIS SUPPLEMENTS","ATHEROSCLEROSIS SUPP","SCI/SCIE",3.078,2.897,34.4,45,3.15,"3区","医学","外周血管病","否","否","Bimonthly","58",2000,"IRELAND","No","一般",">12周，或约稿",5905,"https://www.letpub.com.cn/index.php?journalid=947&page=journalapp&view=detail"
"1078-7895","ATHLETIC THERAPY TODAY","ATHLET THER TODAY","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Bimonthly","0",1996,"UNITED STATES","No","容易",">12周，或约稿",3923,"https://www.letpub.com.cn/index.php?journalid=948&page=journalapp&view=detail"
"0261-1929","ATLA-ALTERNATIVES TO LABORATORY ANIMALS","ATLA-ALTERN LAB ANIM","SCI/SCIE",1.865,1.323,20.6,NA,0.84,"3区","农林科学","医学：研究与实验","否","否","Bimonthly","12",1981,"ENGLAND","No","容易",">18周，或约稿",3724,"https://www.letpub.com.cn/index.php?journalid=949&page=journalapp&view=detail"
"0187-6236","ATMOSFERA","ATMOSFERA","SCIE",1.083,1.154,5.7,23,1.19,"4区","地学","气象与大气科学","否","否","Quarterly","24",1988,"MEXICO","No","容易","约6.0个月",8246,"https://www.letpub.com.cn/index.php?journalid=950&page=journalapp&view=detail"
"0705-5900","ATMOSPHERE-OCEAN","ATMOS OCEAN","SCI/SCIE",1.195,1.254,1.1,NA,1.1,"4区","地学","气象与大气科学","否","否","Quarterly","20",0,"CANADA","No","较易",">12周，或约稿",8757,"https://www.letpub.com.cn/index.php?journalid=951&page=journalapp&view=detail"
"1680-7316","ATMOSPHERIC CHEMISTRY AND PHYSICS","ATMOS CHEM PHYS","SCI/SCIE",5.509,5.689,28.2,161,5.44,"1区","地学","气象与大气科学","是","否","Semimonthly","808",2001,"GERMANY","Yes","很难","很快,2-3周",42575,"https://www.letpub.com.cn/index.php?journalid=952&page=journalapp&view=detail"
"1352-2310","ATMOSPHERIC ENVIRONMENT","ATMOS ENVIRON","SCI/SCIE",3.708,4.042,13.7,200,4.12,"2区","环境科学与生态学","环境科学","是","否","Weekly","646",1994,"ENGLAND","No","较难","约5.4个月",79333,"https://www.letpub.com.cn/index.php?journalid=953&page=journalapp&view=detail"
"1867-1381","Atmospheric Measurement Techniques","ATMOS MEAS TECH","SCIE",3.248,3.65,19.3,60,3.37,"2区","地学","气象与大气科学","否","否","Irregular","300",0,"GERMANY","Yes","","约3.0个月",11333,"https://www.letpub.com.cn/index.php?journalid=954&page=journalapp&view=detail"
"0169-8095","ATMOSPHERIC RESEARCH","ATMOS RES","SCI/SCIE",3.817,3.762,20.4,79,3.85,"2区","地学","气象与大气科学","否","否","Semimonthly","273",1986,"NETHERLANDS","No","容易","约4.5个月",49403,"https://www.letpub.com.cn/index.php?journalid=955&page=journalapp&view=detail"
"1530-261X","Atmospheric Science Letters","ATMOS SCI LETT","SCIE",1.198,1.443,5.7,35,1.36,"4区","地学","气象与大气科学","否","否","Quarterly","64",0,"ENGLAND","No","较易",">12周，或约稿",8110,"https://www.letpub.com.cn/index.php?journalid=956&page=journalapp&view=detail"
"0092-640X","ATOMIC DATA AND NUCLEAR DATA TABLES","ATOM DATA NUCL DATA","SCI/SCIE",4.441,3.04,11.9,55,3,"2区","物理","物理：原子、分子和化学物理","否","否","Bimonthly","21",0,"UNITED STATES","No","容易",">12周，或约稿",5056,"https://www.letpub.com.cn/index.php?journalid=957&page=journalapp&view=detail"
"1063-4258","ATOMIC ENERGY","ATOM ENERGY+","SCI/SCIE",0.288,0.306,50,13,0.21,"4区","工程技术","核科学技术","否","否","Monthly","131",0,"RUSSIA","No","容易","偏慢,4-8周",4980,"https://www.letpub.com.cn/index.php?journalid=958&page=journalapp&view=detail"
"0195-5373","ATOMIC SPECTROSCOPY","ATOM SPECTROSC","SCI/SCIE",1.123,0.88,31.7,29,0.98,"4区","物理","光谱学","否","否","Bimonthly","30",1980,"UNITED STATES","No","容易","约4.5个月",9458,"https://www.letpub.com.cn/index.php?journalid=959&page=journalapp&view=detail"
"1044-5110","ATOMIZATION AND SPRAYS","ATOMIZATION SPRAY","SCI/SCIE",1.189,1.596,14.3,40,1.6,"4区","工程技术","工程：化工","否","否","Bimonthly","64",1991,"UNITED STATES","No","容易",">12周，或约稿",7017,"https://www.letpub.com.cn/index.php?journalid=960&page=journalapp&view=detail"
"1943-3921","Attention Perception & Psychophysics","ATTEN PERCEPT PSYCHO","SCIE",1.678,1.844,17.6,NA,1.64,"4区","医学","心理学","否","否","Bimonthly","201",2009,"UNITED STATES","No","","偏慢,4-8周",7656,"https://www.letpub.com.cn/index.php?journalid=961&page=journalapp&view=detail"
"1431-5254","ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER","ATW-INT J NUCL POWER","SCI/SCIE",0.084,0.074,21.4,NA,NA,"4区","工程技术","核科学技术","否","否","Monthly","81",0,"GERMANY","No","容易","较慢,6-12周",3886,"https://www.letpub.com.cn/index.php?journalid=962&page=journalapp&view=detail"
"1420-3030","AUDIOLOGY AND NEURO-OTOLOGY","AUDIOL NEURO-OTOL","SCI/SCIE",2.078,2.28,3.3,69,2.22,"4区","医学","听力学与言语病理学","否","否","Bimonthly","33",1996,"UNITED STATES","No","较易",">12周，或约稿",4782,"https://www.letpub.com.cn/index.php?journalid=963&page=journalapp&view=detail"
"0004-8038","AUK","AUK","SCI/SCIE",2.442,2.438,8.3,83,1.97,"3区","生物","鸟类学","否","否","Quarterly","66",1884,"UNITED STATES","No","约95%","平均3月",5414,"https://www.letpub.com.cn/index.php?journalid=964&page=journalapp&view=detail"
"0385-8146","AURIS NASUS LARYNX","AURIS NASUS LARYNX","SCIE",1.387,1.303,4.5,38,1.46,"4区","医学","耳鼻喉科学","否","否","Quarterly","129",1973,"NETHERLANDS","No","容易","偏慢,4-8周",6561,"https://www.letpub.com.cn/index.php?journalid=965&page=journalapp&view=detail"
"1442-9985","AUSTRAL ECOLOGY","AUSTRAL ECOL","SCI/SCIE",1.73,1.888,5.2,74,1.8,"4区","环境科学与生态学","生态学","否","否","Bimonthly","93",2000,"AUSTRALIA","No","较易","较慢,12-24周",5088,"https://www.letpub.com.cn/index.php?journalid=966&page=journalapp&view=detail"
"0004-8380","AUSTRALASIAN JOURNAL OF DERMATOLOGY","AUSTRALAS J DERMATOL","SCIE",1.602,1.526,4.4,46,1.23,"4区","医学","皮肤病学","否","否","Quarterly","107",1967,"AUSTRALIA","No","容易","较慢,6-12周",4931,"https://www.letpub.com.cn/index.php?journalid=967&page=journalapp&view=detail"
"1440-6381","AUSTRALASIAN JOURNAL ON AGEING","AUSTRALAS J AGEING","SCIE",1.08,1.33,10.4,26,0.99,"4区","医学","老年医学","否","否","Quarterly","68",1998,"AUSTRALIA","No","容易",">12周，或约稿",4209,"https://www.letpub.com.cn/index.php?journalid=968&page=journalapp&view=detail"
"0158-9938","AUSTRALASIAN PHYSICAL & ENGINEERING SCIENCES IN MEDICINE","AUSTRALAS PHYS ENG S","SCIE",1.032,1.034,19.9,NA,1.08,"4区","医学","工程：生物医学","否","否","Quarterly","88",1980,"NETHERLANDS","No","容易","较慢,6-12周",5754,"https://www.letpub.com.cn/index.php?journalid=969&page=journalapp&view=detail"
"0815-3191","AUSTRALASIAN PLANT PATHOLOGY","AUSTRALAS PLANT PATH","SCIE",1.007,1.203,14.5,45,1.17,"4区","农林科学","植物科学","否","否","Bimonthly","69",1978,"AUSTRALIA","No","约95%","平均3月",8049,"https://www.letpub.com.cn/index.php?journalid=970&page=journalapp&view=detail"
"1039-8562","Australasian Psychiatry","AUSTRALAS PSYCHIATRY","SCIE",0.944,0.869,16.2,32,0.75,"4区","医学","精神病学","否","否","Bimonthly","126",1991,"AUSTRALIA","No","容易","较慢,6-12周",3708,"https://www.letpub.com.cn/index.php?journalid=971&page=journalapp&view=detail"
"0004-8666","AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY","AUST NZ J OBSTET GYN","SCIE",1.766,1.674,11.2,NA,1.43,"4区","医学","妇产科学","否","否","Quarterly","96",1961,"AUSTRALIA","No","容易","偏慢,4-8周",5374,"https://www.letpub.com.cn/index.php?journalid=972&page=journalapp&view=detail"
"1369-1473","AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS","AUST NZ J STAT","SCIE",0.385,0.674,10.1,NA,0.72,"4区","数学","统计学与概率论","否","否","Quarterly","30",1998,"ENGLAND","No","容易",">12周，或约稿",4179,"https://www.letpub.com.cn/index.php?journalid=973&page=journalapp&view=detail"
"0004-8674","AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY","AUST NZ J PSYCHIAT","SCI/SCIE",5.084,4.309,15.8,97,1.92,"2区","医学","精神病学","否","否","Monthly","84",1967,"ENGLAND","No","一般","较慢,6-12周",5594,"https://www.letpub.com.cn/index.php?journalid=974&page=journalapp&view=detail"
"1326-0200","AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH","AUST NZ J PUBL HEAL","SCI/SCIE",1.889,1.968,5.9,67,1.49,"4区","医学","公共卫生、环境卫生与职业卫生","否","否","Bimonthly","118",1996,"AUSTRALIA","No","较易","较慢,6-12周",4146,"https://www.letpub.com.cn/index.php?journalid=975&page=journalapp&view=detail"
"0045-0421","AUSTRALIAN DENTAL JOURNAL","AUST DENT J","SCIE",1.494,1.731,9.9,56,1.6,"4区","医学","牙科与口腔外科","否","否","Quarterly","78",1956,"AUSTRALIA","No","容易","较慢,6-12周",5199,"https://www.letpub.com.cn/index.php?journalid=976&page=journalapp&view=detail"
"1329-1947","Australian Endodontic Journal","AUST ENDOD J","SCIE",1.371,1.278,4.2,28,0.95,"4区","医学","牙科与口腔外科","否","否","Tri-annual","17",1998,"AUSTRALIA","No","容易",">12周，或约稿",3608,"https://www.letpub.com.cn/index.php?journalid=977&page=journalapp&view=detail"
"0300-8495","Australian Family Physician","AUST FAM PHYSICIAN","SCIE",0.79,0.956,12.5,36,0.53,"4区","医学","医学：内科","否","否","Monthly","118",1972,"AUSTRALIA","No","容易","偏慢,4-8周",3783,"https://www.letpub.com.cn/index.php?journalid=978&page=journalapp&view=detail"
"0004-9158","AUSTRALIAN FORESTRY","AUST FORESTRY","SCIE",1.115,1.042,24.1,27,0.96,"4区","农林科学","林学","否","否","Quarterly","33",1936,"AUSTRALIA","No","容易",">12周，或约稿",5230,"https://www.letpub.com.cn/index.php?journalid=979&page=journalapp&view=detail"
"0156-5788","Australian Health Review","AUST HEALTH REV","SCIE",1.036,1.251,10.5,37,1.09,"4区","医学","卫生保健与服务","否","否","Quarterly","101",1978,"AUSTRALIA","No","容易","较慢,6-12周",4265,"https://www.letpub.com.cn/index.php?journalid=980&page=journalapp&view=detail"
"0813-0531","Australian Journal of Advanced Nursing","AUST J ADV NURS","SCIE",0.511,0.791,4.3,32,0.7,"4区","医学","护理","否","否","Quarterly","24",1983,"AUSTRALIA","No","容易",">12周，或约稿",4625,"https://www.letpub.com.cn/index.php?journalid=981&page=journalapp&view=detail"
"1364-985X","AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS","AUST J AGR RESOUR EC","SCIE",1.486,1.685,14,41,1.26,"3区","管理科学","农业经济与政策","否","否","Quarterly","36",1997,"ENGLAND","No","容易",">24周，或约稿",7456,"https://www.letpub.com.cn/index.php?journalid=982&page=journalapp&view=detail"
"0004-9409","",NA,"无",0,0,NA,NA,NA,"未录","","",NA,NA,"Monthly","0",0,NA,"No","容易","",2961,"https://www.letpub.com.cn/index.php?journalid=983&page=journalapp&view=detail"
"0067-1924","AUSTRALIAN JOURNAL OF BOTANY","AUST J BOT","SCI/SCIE",0.903,1.637,8.3,60,1.09,"4区","生物","植物科学","否","否","Bimonthly","64",1953,"AUSTRALIA","No","容易","较慢,6-12周",7126,"https://www.letpub.com.cn/index.php?journalid=984&page=journalapp&view=detail"
"0004-9425","AUSTRALIAN JOURNAL OF CHEMISTRY","AUST J CHEM","SCI/SCIE",1.059,1.246,4.2,71,1.02,"4区","化学","化学综合","否","否","Monthly","168",1953,"AUSTRALIA","No","容易","约1.0个月",37874,"https://www.letpub.com.cn/index.php?journalid=985&page=journalapp&view=detail"
"1835-2693","Australian Journal of Crop Science","AUST J CROP SCI","无",0,0,NA,30,0.75,"未录","","",NA,NA,"Bimonthly","169",2008,"AUSTRALIA","No","约68.75%","约3.6个月",14483,"https://www.letpub.com.cn/index.php?journalid=986&page=journalapp&view=detail"
"0004-9433","AUSTRALIAN JOURNAL OF DAIRY TECHNOLOGY","AUST J DAIRY TECHNOL","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Tri-annual","0",0,"AUSTRALIA","No","容易",">12周，或约稿",3284,"https://www.letpub.com.cn/index.php?journalid=987&page=journalapp&view=detail"
"0812-0099","AUSTRALIAN JOURNAL OF EARTH SCIENCES","AUST J EARTH SCI","SCI/SCIE",1.22,1.548,15.3,62,1.31,"4区","地学","地球科学综合","否","否","Bimonthly","62",0,"AUSTRALIA","No","容易","较慢,6-12周",7389,"https://www.letpub.com.cn/index.php?journalid=988&page=journalapp&view=detail"
"1326-6756","AUSTRALIAN JOURNAL OF ENTOMOLOGY","AUST J ENTOMOL","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Quarterly","0",1996,"AUSTRALIA","No","容易",">12周，或约稿",3542,"https://www.letpub.com.cn/index.php?journalid=989&page=journalapp&view=detail"
"0816-1089","Australian journal of experimental agriculture","AUST J EXP AGR","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Quarterly","0",1985,"Australia","No","容易","",3265,"https://www.letpub.com.cn/index.php?journalid=990&page=journalapp&view=detail"
"0045-0618","Australian Journal of Forensic Sciences","AUST J FORENSIC SCI","SCIE",0.941,0.936,10.4,15,0.72,"4区","医学","医学：法","否","否","Semiannual","56",1968,"ENGLAND","No","容易",">12周，或约稿",3974,"https://www.letpub.com.cn/index.php?journalid=991&page=journalapp&view=detail"
"1322-7130","AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH","AUST J GRAPE WINE R","SCIE",1.913,2.231,7.5,64,2.15,"3区","工程技术","食品科技","否","否","Tri-annual","50",1995,"AUSTRALIA","No","较易",">24周，或约稿",19490,"https://www.letpub.com.cn/index.php?journalid=992&page=journalapp&view=detail"
"1448-7527","Australian Journal of Primary Health","AUST J PRIM HEALTH","SCIE",0.935,1.229,17.9,22,0.97,"4区","医学","卫生保健与服务","否","否","Tri-annual","85",2001,"AUSTRALIA","No","容易","较慢,6-12周",4358,"https://www.letpub.com.cn/index.php?journalid=993&page=journalapp&view=detail"
"1038-5282","Australian Journal of Rural Health","AUST J RURAL HEALTH","SCIE",0.858,1.118,4.1,40,0.74,"4区","医学","护理","否","否","Bimonthly","50",1992,"AUSTRALIA","No","较易","较慢,6-12周",3971,"https://www.letpub.com.cn/index.php?journalid=994&page=journalapp&view=detail"
"0004-9573","AUSTRALIAN JOURNAL OF SOIL RESEARCH","AUST J SOIL RES","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Bimonthly","0",0,"AUSTRALIA","No","约25%","平均12月",9596,"https://www.letpub.com.cn/index.php?journalid=995&page=journalapp&view=detail"
"0004-959X","AUSTRALIAN JOURNAL OF ZOOLOGY","AUST J ZOOL","SCI/SCIE",0.768,0.905,9.5,41,0.87,"4区","生物","动物学","否","否","Bimonthly","21",1953,"AUSTRALIA","No","容易",">12周，或约稿",4227,"https://www.letpub.com.cn/index.php?journalid=996&page=journalapp&view=detail"
